"Subject" "Activity" "DataMean" "StandardDeviation"
"20" "SITTING" -0.639872725383092 0.527764929077405
"20" "STANDING" -0.620027732157146 0.524149978782361
"20" "LAYING" -0.644397438696908 0.532641364322124
"21" "WALKING" -0.330648706245588 0.46278042089897
"21" "WALKING_UPSTAIRS" -0.381967006088137 0.474155842467934
"21" "WALKING_DOWNSTAIRS" -0.291301975673511 0.476273261876457
"21" "SITTING" -0.644724493205524 0.534041231848018
"21" "STANDING" -0.638450214241584 0.52824625478876
"21" "LAYING" -0.63110876443376 0.543535720144751
"22" "WALKING" -0.274200987116311 0.460223886482708
"22" "WALKING_UPSTAIRS" -0.305185521541175 0.469442638262656
"22" "WALKING_DOWNSTAIRS" -0.287664837258693 0.477527301224566
"22" "SITTING" -0.634015600138589 0.532294626778265
"22" "STANDING" -0.635992094486953 0.530035611163826
"22" "LAYING" -0.632109081483277 0.53496528530253
"23" "WALKING" -0.265296718829829 0.46579226532907
"23" "WALKING_UPSTAIRS" -0.369581312588007 0.467422418502853
"23" "WALKING_DOWNSTAIRS" -0.20246554081645 0.460987522051888
"23" "SITTING" -0.632843540612456 0.543250880194874
"23" "STANDING" -0.637024168810267 0.530870637218577
"23" "LAYING" -0.628089473591726 0.551318758401801
"24" "WALKING" -0.416975175176002 0.473899571955567
"24" "WALKING_UPSTAIRS" -0.43583828688532 0.474147933085783
"24" "WALKING_DOWNSTAIRS" -0.359085991984149 0.47355576452796
"24" "SITTING" -0.646619496620551 0.526749513709094
"24" "STANDING" -0.634194893841734 0.53337291582095
"24" "LAYING" -0.634203387560794 0.541530472427839
"25" "WALKING" -0.460842122215599 0.482596716338894
"25" "WALKING_UPSTAIRS" -0.48551223324769 0.493116080857898
"25" "WALKING_DOWNSTAIRS" -0.429924410531157 0.480854691025742
"25" "SITTING" -0.645307467575153 0.534077290135641
"25" "STANDING" -0.645297950751058 0.528456430881869
"25" "LAYING" -0.589506698496036 0.547232332109179
"26" "WALKING" -0.392008755561813 0.465125341267774
"26" "WALKING_UPSTAIRS" -0.41167278243368 0.480189362138412
"26" "WALKING_DOWNSTAIRS" -0.322473123490661 0.468109872200611
"26" "SITTING" -0.642718508921569 0.53833447591283
"26" "STANDING" -0.644004547265191 0.533600377749795
"26" "LAYING" -0.640679888089531 0.545445492151458
"27" "WALKING" -0.377771272094104 0.468395161476453
"27" "WALKING_UPSTAIRS" -0.426267052017458 0.486541542329806
"27" "WALKING_DOWNSTAIRS" -0.312446129792811 0.475531871474568
"27" "SITTING" -0.647329814034974 0.533817298802599
"27" "STANDING" -0.644356212162637 0.53489831113065
"27" "LAYING" -0.645993647892745 0.539748273747566
"28" "WALKING" -0.393787255237739 0.468658808478667
"28" "WALKING_UPSTAIRS" -0.401092965937606 0.473868809256389
"28" "WALKING_DOWNSTAIRS" -0.291650876955502 0.46512298089658
"28" "SITTING" -0.637322526513564 0.523403484159419
"28" "STANDING" -0.627883524309929 0.520150639763063
"28" "LAYING" -0.640518710327799 0.531234094900995
"29" "WALKING" -0.352894943404783 0.459840109925527
"29" "WALKING_UPSTAIRS" -0.364429747315138 0.485259175000608
"29" "WALKING_DOWNSTAIRS" -0.31726279115201 0.467398819601169
"29" "SITTING" -0.644100724926612 0.540119495168856
"29" "STANDING" -0.650245278868483 0.535886584402718
"29" "LAYING" -0.646324698842316 0.547126726987741
"30" "WALKING" -0.373607524126774 0.459338566537628
"30" "WALKING_UPSTAIRS" -0.439370730188029 0.490550382384492
"30" "WALKING_DOWNSTAIRS" -0.358790607945901 0.466805193640834
"30" "SITTING" -0.646017901904583 0.532909952418861
"30" "STANDING" -0.630635453342216 0.527932681940728
"30" "LAYING" -0.642625296795821 0.529112374412416
